Longitude,Latitude,Depth_km
-123.8826029,41.5835558,-20
-123.8531443,41.50563867,-20
-123.8237418,41.42770035,-20
-123.7815167,41.35602396,-20
-123.738197,41.28487417,-20
-123.6974881,41.21225305,-20
-123.6591816,41.13828342,-20
-123.6278246,41.06161232,-20
-123.6075928,40.98102908,-20
-123.6128392,40.89789446,-20
-123.6293786,40.81807497,-20
-123.6697832,40.7452302,-20
-123.7287179,40.6872315,-20
-123.7909362,40.63184403,-20
-123.865521,40.59522911,-20
-123.940937,40.55985506,-20
-124.0143441,40.52050546,-20
-124.087256,40.48024903,-20
-124.1581103,40.43644774,-20
-124.2289164,40.39256844,-20
-124.2971251,40.34482749,-20
-124.3644068,40.29571465,-20
-124.425663,40.23946413,-20
-126.5333891,50.6942718,-40
-126.4782567,50.63182736,-40
-126.4231243,50.56938293,-40
-126.3681072,50.50683705,-40
-126.3132102,50.44418562,-40
-126.2583131,50.38153419,-40
-126.2036469,50.31868121,-40
-126.148984,50.25582534,-40
-126.0944347,50.19287108,-40
-126.0400049,50.12981332,-40
-125.985575,50.06675556,-40
-125.9281687,50.00639566,-40
-125.870834,49.94596704,-40
-125.8135875,49.88545488,-40
-125.7551683,49.82619455,-40
-125.6913663,49.77263905,-40
-125.6276386,49.71899517,-40
-125.5614066,49.66867772,-40
-125.4923156,49.62214468,-40
-125.423288,49.57551767,-40
-125.3533171,49.53033149,-40
-125.2830279,49.48562899,-40
-125.2127993,49.44083132,-40
-125.1418287,49.39728203,-40
-125.069011,49.35682873,-40
-124.9962422,49.3162876,-40
-124.92352,49.27566282,-40
-124.8503451,49.23594195,-40
-124.7744469,49.20161465,-40
-124.6985874,49.16720224,-40
-124.6227589,49.13272134,-40
-124.5469617,49.09817182,-40
-124.4712133,49.06351531,-40
-124.3936046,49.03347361,-40
-124.3150128,49.00586537,-40
-124.2364467,48.97818406,-40
-124.1579055,48.95043221,-40
-124.079394,48.92259615,-40
-124.0031097,48.88926817,-40
-123.9274054,48.85451564,-40
-123.8517332,48.81969308,-40
-123.7761108,48.78476246,-40
-123.7005188,48.74976629,-40
-123.6259716,48.71297096,-40
-123.5583447,48.66433453,-40
-123.490776,48.61561743,-40
-123.4240222,48.56594683,-40
-123.3661475,48.50603522,-40
-123.3083527,48.44604646,-40
-123.2506378,48.38598081,-40
-123.2016152,48.31902471,-40
-123.1563993,48.24906466,-40
-123.1112626,48.17905343,-40
-123.07243,48.10548298,-40
-123.0358882,48.03062591,-40
-122.9994188,47.9557335,-40
-122.9630316,47.88080112,-40
-122.9431699,47.80002406,-40
-122.9244003,47.71886624,-40
-122.9056752,47.63769815,-40
-122.9019231,47.55487604,-40
-122.9024748,47.47157787,-40
-122.9076777,47.38855013,-40
-122.9167624,47.30574701,-40
-122.9258107,47.2229399,-40
-122.934811,47.14012755,-40
-122.9437648,47.05731017,-40
-122.9556642,46.9749224,-40
-122.9706671,46.8929846,-40
-122.9856077,46.81103542,-40
-122.9982486,46.72871163,-40
-123.0100432,46.64625087,-40
-123.0214648,46.56373787,-40
